"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MYL6",7.28560929184991e-37,0.549714867950141,0.921,0.836,1.6544890140862e-32
"STX7",1.1504819832521e-08,0.548862664545714,0.556,0.382,0.000261262953576719
"HSD17B11",4.57835547386411e-05,0.548467717323538,0.391,0.276,1
"TMBIM1",3.58284433051263e-06,0.54774870813051,0.49,0.365,0.0813628119016112
"RNF181",0.000669067278749158,0.547526659211148,0.355,0.268,1
"CX3CR1",1.4800124033945e-10,0.546490342444205,0.651,0.411,3.36096016686858e-06
"CTSC",9.76810811278537e-12,0.545584883720211,0.707,0.553,2.21823967133243e-07
"BUD31",0.00344726435057018,0.543608851753584,0.336,0.267,1
"TBCA",0.000700919682137548,0.541600687103778,0.349,0.264,1
"TMEM30A",6.39018110694073e-05,0.541486451096169,0.454,0.366,1
"LAMTOR1",0.00224338926088595,0.541095200307206,0.312,0.239,1
"ATP1A1",6.30700429892708e-09,0.53860206680454,0.622,0.498,0.000143225760624335
"PQLC3",0.00376475173122359,0.538458101329202,0.283,0.212,1
"RPS6KA1",0.000373348158842127,0.538086656414689,0.388,0.304,1
"CMIP",1.16940430512283e-06,0.537943434840886,0.569,0.438,0.0265560023650343
"NT5C2",0.000529173209269428,0.53782211348476,0.372,0.285,1
"OSTF1",0.00621664127974074,0.536555303912968,0.283,0.219,1
"TMEM14C",0.000348060885224453,0.535140821372238,0.266,0.179,1
"SH3BP1",0.000341747692378514,0.53454626259833,0.405,0.318,1
"ABRACL",6.1036623645124e-07,0.533920177036242,0.553,0.437,0.0138608068635712
"HEG1",0.000815071471462241,0.533471907486983,0.336,0.25,1
"ANXA4",0.000503745538891576,0.531662633721391,0.273,0.187,1
"STX4",0.000999178330820235,0.531004859232964,0.326,0.245,1
"AMD1",0.000662008140040959,0.530476477250569,0.342,0.259,1
